true,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
.,23539,0,0,0,0,0,0,0,0,0,0,11
ADJ,0,7076,5,336,0,0,723,3,0,12,204,27
ADP,0,26,14902,339,19,13,18,0,18,290,26,6
ADV,0,325,179,7433,20,15,296,0,1,195,207,10
CONJ,0,0,0,2,5117,19,2,0,0,0,0,0
DET,0,1,169,32,3,16535,2,2,244,0,1,4
NOUN,0,1004,3,45,0,0,26817,84,0,17,790,221
NUM,0,6,0,0,0,0,34,857,0,0,0,0
PRON,0,2,169,3,0,137,19,0,11349,0,3,2
PRT,0,19,433,31,0,0,168,0,1,4799,19,12
VERB,0,369,45,31,0,0,1317,0,0,5,25448,31
X,0,19,1,0,0,0,90,0,0,0,11,54
